timestep,episode,ep_length,cum_reward,R_water,R_fert,R_resource,R_losses,R_daily_mean,R_seasonal,R_yield,R_hiad,R_ane,R_penalty,yield_kg_ha,total_N_kg_ha,total_W_mm,total_rain_mm,energy_budget,comm_quality
21931,137,159,-1.418241,0.2,-0.334447,0.004605,0.064489,0.00202068,-0.412497,-1.0,-0.446791,0.246194,0.20838,2894.9,58.1,63.2,1253.6,100.0,1.0
22091,138,160,3.399087,0.43805,-0.249191,0.014224,0.0,0.00254191,-0.187546,-0.91653,0.195473,0.67617,0.216662,4128.0,61.6,62.7,478.9,100.0,1.0
22252,139,161,-0.135033,0.2,-0.357959,0.002027,0.0,0.00218367,-0.359999,-1.0,0.245816,0.217849,0.249677,3627.0,74.5,63.5,578.5,100.0,1.0
22409,140,157,-2.373197,0.2,-0.432351,4.2e-05,0.0,0.00208733,-0.480057,-1.0,-0.67936,0.087388,0.191687,2693.2,61.9,36.9,569.8,100.0,1.0
22571,141,162,-0.465947,0.2,-0.33853,0.006037,0.645564,0.00247065,-0.430614,-1.0,-0.351121,0.154664,0.209505,3157.6,68.4,38.6,608.1,100.0,1.0
22731,142,160,-1.753595,-0.060585,-0.442001,0.003112,0.0,0.00218642,-0.462352,-1.0,-0.670804,0.141167,0.188108,2571.1,56.3,47.3,502.2,100.0,1.0
22886,143,155,-0.129081,0.2,0.6,0.001675,0.35,0.00411438,-0.687483,-1.0,-0.935603,-0.517425,0.193476,1170.7,60.7,41.9,318.0,100.0,1.0
23045,144,159,-1.429752,0.2,0.686859,0.016938,0.016046,0.00316975,-0.597946,-1.0,-0.628625,-0.302108,0.222254,1733.2,62.1,67.0,332.1,100.0,1.0
23203,145,158,-0.53904,0.240905,-0.322057,0.00402,1.8e-05,0.00196676,-0.345448,-1.0,-0.445459,0.466169,0.203761,3733.1,63.7,44.6,790.4,100.0,1.0
23361,146,158,0.014847,0.2,-0.300981,0.003153,0.135129,0.00209086,-0.329052,-0.949241,-0.231375,0.393892,0.221926,4003.4,71.8,42.4,703.1,100.0,1.0
23519,147,158,0.046477,0.508951,-0.31854,0.0,0.0,0.00246032,-0.385608,-1.0,-0.368437,0.32398,0.22979,3161.0,59.7,80.6,405.6,100.0,1.0
23677,148,158,-1.966114,0.718653,-0.32637,0.00202,0.000118,0.00219716,-0.4746,-1.0,-0.53219,0.080197,0.227199,3034.3,70.2,51.6,745.6,100.0,1.0
