scenario,level_idx,level_label,corner,episode,R_yield,R_ane,R_water_eff,yield_kg_ha,total_N_kg_ha,total_W_mm,cum_reward
obs_noise,3,0.20,n_eff,1,-0.4274163842201233,-0.4360201954841614,-1.0,5991.5435791015625,265.5921221760063,874.3994666884065,-0.14788893358956706
obs_noise,3,0.20,n_eff,2,0.7925679087638855,-0.07066123932600021,-0.9328543543815613,10639.683837890625,286.21651012076927,773.1417465521826,0.25400389617053837
obs_noise,3,0.20,n_eff,3,-0.853983461856842,-1.0,0.6152779459953308,4366.322937011719,1118.1575775146484,153.88881492614746,-0.3048405646132708
obs_noise,3,0.20,water,1,-0.294019490480423,0.21457242965698242,-0.41828590631484985,6499.7857666015625,133.78752899169922,567.3143672943115,-0.12739012918659276
obs_noise,3,0.20,water,2,0.8775516152381897,-0.7205309271812439,-0.4290154278278351,10963.4716796875,980.7409694398889,571.6061709300757,0.11329080145998704
obs_noise,3,0.20,water,3,0.6521012187004089,-0.7889470458030701,-0.5297732353210449,10104.505615234375,1196.9160592663197,611.9092861339352,0.026001572294074737
obs_noise,3,0.20,balanced,1,0.8284037709236145,-0.8071835041046143,-1.0,10776.21826171875,1397.211555197895,881.9587313574083,0.08735611103102303
obs_noise,3,0.20,balanced,2,1.0,-0.6962152123451233,-0.49182453751564026,12374.4970703125,1018.3605643484152,596.7298125582174,0.3697483341788419
obs_noise,3,0.20,balanced,3,0.6806201934814453,-0.7190081477165222,-0.7197498083114624,10213.162841796875,908.6707186507571,687.8999169729921,0.21593616076805616
obs_noise,4,0.30,yield,1,0.6985196471214294,-0.6989760994911194,-1.0,10281.35986328125,853.8656881749718,1200.7808439432174,0.9930971077829679
obs_noise,4,0.30,yield,2,1.0,-0.8520084619522095,-1.0,12378.123779296875,2091.0188145239663,1213.5630908451576,1.4543046678608218
obs_noise,4,0.30,yield,3,0.6729931831359863,-0.8689843416213989,-0.6476959586143494,10184.10400390625,1943.2991698566952,659.0783897331673,1.2012773150508007
obs_noise,4,0.30,n_eff,1,0.07973530143499374,-0.7580358386039734,0.5888580679893494,7923.79150390625,818.6946741488985,164.4567699432373,-0.23135621273755014
obs_noise,4,0.30,n_eff,2,-0.34048277139663696,0.060133397579193115,-1.0,6322.7606201171875,149.1029488515054,900.284207885013,0.34027214499746794
obs_noise,4,0.30,n_eff,3,-0.5342511534690857,-0.29102471470832825,-1.0,5584.503173828125,196.92164666644135,834.5996746316006,-0.03186853750868168
obs_noise,4,0.30,water,1,0.7880551815032959,-0.8328773379325867,-1.0,10622.490234375,1589.0261805959926,1008.5573185435329,-0.560440368424657
obs_noise,4,0.30,water,2,1.0,-0.494606614112854,-1.0,11997.88818359375,593.4925352814053,893.2096174568323,-0.6174196458587612
obs_noise,4,0.30,water,3,0.3466639816761017,-0.21987438201904297,-0.8478561639785767,8940.789794921875,286.5176336972959,739.1424633447623,-0.5783250775900883
obs_noise,4,0.30,balanced,1,0.6243108510971069,-0.3506312072277069,-1.0,9998.624267578125,384.9362701435715,1073.7089608385818,0.05758324437229845
obs_noise,4,0.30,balanced,2,1.0,-0.8494551777839661,-0.40111514925956726,12378.123779296875,2055.5549248921775,560.4460629978769,0.44977564007463866
obs_noise,4,0.30,balanced,3,0.27406835556030273,-0.9284926056861877,-0.11749167740345001,8664.200439453125,3029.1285543984,446.9966694922132,0.3821445336118915
obs_noise,5,0.50,yield,1,0.6585826277732849,-0.9147458076477051,-0.3425607681274414,10129.199829101562,2970.2943105647437,537.024311385215,1.110606750073782
obs_noise,5,0.50,yield,2,-0.9519784450531006,-1.0,0.528201162815094,3992.9620361328125,4255.598302261659,188.71954345703125,-0.2834532300833552
obs_noise,5,0.50,yield,3,-0.45230013132095337,-0.9606355428695679,0.3988668918609619,5896.7364501953125,3744.965164748839,240.45324338751993,0.2524068489682937
obs_noise,5,0.50,n_eff,1,0.774868369102478,-0.8652313351631165,-1.0,10572.24853515625,1961.1846869406459,1603.4396388979033,-0.4273673280850858
obs_noise,5,0.50,n_eff,2,0.16630670428276062,-0.9023611545562744,-1.0,8253.628540039062,2113.3058184093197,903.6678640495298,-0.43988308708115226
obs_noise,5,0.50,n_eff,3,0.6059015989303589,-0.8844054937362671,-1.0,9928.485107421875,2147.265469165569,969.3939456744955,-0.4419348728102394
obs_noise,5,0.50,water,1,0.8129927515983582,-0.8526871800422668,-1.0,10717.50244140625,1818.8337578866704,894.2152188039922,-0.5741205268034526
obs_noise,5,0.50,water,2,-0.15379786491394043,-0.9362051486968994,-1.0,7034.0301513671875,2756.5045027145948,994.4320781232419,-0.533471774613924
obs_noise,5,0.50,water,3,0.4951308071613312,-0.7817620635032654,-0.7153563499450684,9506.448364257812,1089.0004932078537,686.1425299799432,-0.19760114284407038
