episode,timestep,ep_length,cum_reward,w_yield,w_neff,w_water,R_yield,R_ane,R_water_eff,yield_kg_ha,total_N_kg_ha,total_W_mm,total_rain_mm,critic_loss,actor_loss
141,22571,162,0.5593,0.5813,0.2973,0.1213,1.0,-0.9312,-1.0,12479.5,4536.0,1821.9,608.1,0.00268,0.458538
142,22731,160,0.0636,0.309,0.6461,0.0449,0.7004,-0.8677,-1.0,10288.6,1943.8,1017.9,502.2,0.002921,0.462171
143,22886,155,0.4346,0.7862,0.1462,0.0676,0.375,-0.9526,-1.0,9048.8,4768.4,1591.6,318.0,0.003319,
144,23045,159,0.3067,0.4387,0.3482,0.213,1.0,-0.9211,-1.0,11916.3,3778.0,1486.1,332.1,0.002549,0.457369
145,23203,158,0.1386,0.3475,0.5004,0.1521,1.0,-0.9179,-1.0,12180.2,3707.3,1386.5,790.4,0.002061,0.457169
146,23361,158,0.3492,0.4938,0.1511,0.3551,0.9757,-0.9451,-1.0,11337.4,5166.4,1424.1,703.1,0.000166,0.446621
147,23519,158,-0.417,0.1114,0.425,0.4636,0.5972,-0.9371,-1.0,9895.1,3935.0,1210.3,405.6,0.010931,0.457453
148,23677,158,0.8501,0.0,0.0,1.0,0.6188,-0.9501,0.2607,9977.5,5000.4,295.7,745.6,0.00264,0.439567
149,23839,162,-0.0349,0.0,1.0,0.0,-0.4556,-0.232,-1.0,5884.1,191.5,1224.3,398.2,0.001686,0.44865
150,23997,158,0.4529,0.5275,0.3544,0.1181,1.0,-0.9331,-1.0,11539.3,4314.6,1598.9,523.8,0.001609,0.436458
151,24157,160,-0.2139,0.2695,0.4811,0.2494,0.4547,-0.9357,-1.0,9352.3,3635.0,1309.1,399.0,0.003267,0.436734
152,24323,166,0.8803,0.0,0.0,1.0,0.9131,-0.9421,0.1897,11098.8,4788.7,324.1,982.0,0.001105,0.451199
153,24484,161,0.2575,0.3865,0.5881,0.0254,1.0,-0.8828,-1.0,11927.0,2544.1,1429.1,402.1,0.006995,
154,24645,161,0.1295,0.3379,0.0771,0.585,0.5314,-0.9482,-0.8767,9644.6,4650.7,750.7,320.8,0.002813,0.44746
155,24805,160,-0.0958,0.0,1.0,0.0,-0.4919,-0.2689,-1.0,5745.7,196.5,1256.0,603.3,0.004285,0.443398
156,24973,168,-0.8088,0.0,1.0,0.0,-0.8358,-1.0,-1.0,4435.5,195.5,1028.5,850.6,0.000464,0.442857
157,25130,157,0.789,0.1788,0.0063,0.8149,-0.5512,-0.9844,0.2181,5519.8,8841.9,312.8,224.4,0.000405,
158,25292,162,0.4684,0.5969,0.0334,0.3697,0.8266,-0.9568,-1.0,10769.5,6232.6,1359.1,547.2,0.000617,
159,25457,165,-0.2332,0.1906,0.5279,0.2814,0.7662,-0.9356,-1.0,10539.3,4089.1,1430.4,479.5,0.000551,0.416804
160,25621,164,-0.2027,0.1434,0.6317,0.2249,1.0,-0.8702,-1.0,11461.1,2207.6,1275.8,597.0,0.003009,0.420921
161,25782,161,0.2086,0.4071,0.3289,0.264,0.984,-0.9503,-1.0,11369.1,5716.4,1425.1,445.0,0.001441,
162,25940,158,-0.301,0.1504,0.3146,0.535,0.59,-0.9534,-0.9392,9867.9,5291.0,775.7,719.4,0.000332,
163,26094,154,-0.4822,0.0754,0.5337,0.3909,0.2289,-0.9311,-1.0,8492.0,3083.5,1129.8,333.2,0.005636,
164,26256,162,-0.0251,0.299,0.1722,0.5288,1.0,-0.9591,-1.0,11444.0,7003.1,946.0,776.2,0.001167,
