episode,timestep,ep_length,cum_reward,w_yield,w_neff,w_water,R_yield,R_ane,R_water_eff,yield_kg_ha,total_N_kg_ha,total_W_mm,total_rain_mm,critic_loss,actor_loss
149,23839,162,0.4674,0.535,0.0006,0.4644,0.8503,-0.9254,-0.9859,10859.8,3638.1,794.3,398.2,0.000416,0.252035
150,23997,158,1.3058,0.9433,0.0183,0.0384,0.9808,-0.9324,-1.0,11357.0,4202.0,974.5,523.8,0.000494,0.244189
151,24157,160,0.0455,0.4067,0.1791,0.4143,0.4529,-0.9096,-1.0,9345.6,2583.7,813.5,399.0,0.000808,0.230494
152,24323,166,-0.2523,0.0898,0.6647,0.2455,1.0,-0.8178,-1.0,12626.7,1732.8,1093.9,982.0,0.001626,0.241985
153,24484,161,-0.371,0.0795,0.4655,0.455,1.0,-0.9109,-1.0,11927.0,3347.8,1010.9,402.1,0.000887,
154,24645,161,0.1496,0.4271,0.373,0.1999,0.3807,-0.941,-1.0,9070.5,3844.6,973.6,320.8,0.000486,0.258079
155,24805,160,0.6615,0.6437,0.2547,0.1015,0.8009,-0.9228,-1.0,10671.4,3456.7,900.7,603.3,0.003262,0.248253
156,24973,168,-0.1253,0.1926,0.7164,0.091,0.6303,-0.8287,-1.0,10021.6,1462.4,942.7,850.6,0.000509,0.233392
157,25130,157,0.7661,0.7011,0.0434,0.2555,0.7831,-0.9296,-1.0,10603.7,3764.6,979.8,224.4,0.000746,
158,25292,162,0.4079,0.5283,0.2599,0.2118,0.8098,-0.9303,-1.0,10705.3,3841.0,932.6,547.2,0.000566,
159,25457,165,-0.1141,0.4944,0.1835,0.3221,-0.1702,-0.9638,-1.0,6971.4,4818.1,800.4,479.5,0.001721,0.26448
160,25621,164,-0.7863,0.0558,0.9023,0.0419,-0.707,-1.0,-1.0,4926.5,158.0,1225.2,597.0,0.001012,0.261806
161,25782,161,0.8576,0.9086,0.0041,0.0873,0.4991,-0.9367,-1.0,9521.5,3759.1,907.9,445.0,0.00218,
162,25940,158,0.3402,0.0396,0.2804,0.68,0.2887,-0.9436,0.0813,8720.1,3862.2,367.5,719.4,0.000691,
163,26094,154,0.3067,0.3091,0.0365,0.6543,-0.7812,-1.0,-0.02,4643.7,3602.1,408.0,333.2,0.000947,
164,26256,162,0.3364,0.4449,0.3012,0.2539,1.0,-0.9279,-1.0,11444.0,3967.1,1024.0,776.2,0.001126,
165,26408,152,0.5523,0.7093,0.0363,0.2544,0.6158,-0.936,-1.0,9966.1,3895.1,1012.4,456.7,0.001299,
166,26564,156,0.2355,0.397,0.5729,0.0301,0.8088,-0.8625,-1.0,10701.3,1945.7,966.4,749.8,0.000515,
167,26719,155,1.1769,0.9819,0.014,0.0042,0.7505,-0.9296,-1.0,10479.6,3722.7,937.5,363.2,0.000839,0.214939
168,26885,166,0.0604,0.1269,0.7841,0.089,0.968,-0.6063,-1.0,11308.2,718.0,904.8,721.9,0.000867,0.232996
169,27046,161,0.7269,0.0105,0.2336,0.7558,-0.1365,-0.9527,0.4129,7099.9,3756.2,234.8,871.3,0.023807,
170,27210,164,0.3055,0.0546,0.2734,0.672,0.6882,-0.9371,-0.0124,10242.1,4070.3,405.0,965.4,0.001617,
171,27376,166,0.717,0.6347,0.0512,0.3141,0.9678,-0.9392,-1.0,11307.4,4647.7,946.9,538.9,0.000447,
172,27542,166,1.3583,0.9554,0.0349,0.0097,1.0,-0.9364,-1.0,11522.6,4531.9,909.9,576.4,0.002281,
173,27700,158,-0.1725,0.0892,0.715,0.1958,1.0,-0.7653,-1.0,11729.7,1249.3,952.6,523.5,0.005189,
174,27862,162,-0.2899,0.1246,0.389,0.4863,0.8899,-0.919,-1.0,11010.6,3400.1,824.5,822.4,0.000451,
175,28020,158,0.2168,0.2269,0.2197,0.5535,0.9845,-0.9231,-0.5155,11370.8,3695.2,606.2,547.4,0.001889,
176,28174,154,-0.0515,0.0861,0.3578,0.5562,0.9515,-0.9344,-0.4592,11245.3,4282.6,583.7,609.5,0.003368,
177,28334,160,-0.0088,0.218,0.2574,0.5245,1.0,-0.92,-0.8378,12275.9,3836.4,735.1,600.4,0.000857,
178,28494,160,-0.1725,0.1698,0.5097,0.3205,0.8725,-0.9133,-1.0,10944.2,3157.4,1013.7,512.9,0.000386,
