====================================================================
12_capql_train_robust.py  —  CAPQL-Robust  (GRU + fault training)
====================================================================
  Obs dim  : 19  (crop + mask + w)
  Actor    : GRU(19→256) + Linear(256→2)
  Critic   : MLP  (21→256→256→1)
  Steps    : 1,000,000
  Seq len  : 16  (burn-in 4,  grad steps/ep 8)
  Aug λ    : 0.5
  Fault mix: 60% clean | 10% dropout | 10% packet | 10% stuck | 5% N-act | 5% W-act
====================================================================

      ep     steps    R_yld    R_ane    R_wef    yield                   w
  ────────────────────────────────────────────────────────────────────────
  Collecting first episodes... (first log line appears at ep 10)

    1920   306,396   +0.958   -0.992   -0.252    11269  [0.00,0.00,1.00]  ETA 91.3m
    1930   307,979   +0.717   -0.992   -0.185    10351  [0.00,0.00,1.00]  ETA 91.1m
    1940   309,566   +1.000   -0.956   -1.000    11906  [0.04,0.54,0.41]  ETA 90.9m
    1950   311,172   +0.847   -0.984   -1.000    10848  [0.66,0.28,0.06]  ETA 90.6m
    1960   312,768   +1.000   -0.991   -1.000    11488  [1.00,0.00,0.00]  ETA 90.4m
    1970   314,343   +0.657   -0.991   -1.000    10124  [0.52,0.06,0.42]  ETA 90.2m
    1980   315,948   +0.756   -0.976   -1.000    10499  [0.19,0.41,0.39]  ETA 90.0m
    1990   317,554   +1.000   -0.979   -1.000    11583  [0.14,0.34,0.51]  ETA 89.8m
    2000   319,142   +0.497   -0.978   -1.000     9515  [0.18,0.42,0.40]  ETA 89.6m
    2010   320,703   +0.991   -0.934   -1.000    11397  [0.09,0.63,0.28]  ETA 89.3m
    2020   322,299   +1.000   -0.923   -1.000    11720  [0.18,0.66,0.16]  ETA 89.1m
    2030   323,886   +1.000   -0.985   -1.000    11818  [0.19,0.22,0.60]  ETA 88.9m
    2040   325,509   +0.841   -0.989   -0.437    10826  [0.14,0.12,0.73]  ETA 88.7m
    2050   327,094   +0.878   -0.991   -1.000    10964  [0.37,0.01,0.63]  ETA 88.5m
    2060   328,709   +0.979   -0.743   -1.000    11349  [0.07,0.81,0.12]  ETA 88.4m
    2070   330,314   +0.710   -0.989   -1.000    10326  [0.62,0.13,0.24]  ETA 88.2m
    2080   331,924   +0.858   -0.983   -1.000    10890  [0.16,0.29,0.55]  ETA 88.0m
    2090   333,509   -0.397   -0.507   -1.000     6107  [0.00,1.00,0.00]  ETA 87.8m
    2100   335,136   +0.454   -0.973   -1.000     9348  [0.11,0.49,0.40]  ETA 87.6m
    2110   336,719   +1.000   -0.892   -1.000    12232  [0.12,0.70,0.18]  ETA 87.4m
    2120   338,212   +0.984   -0.991   -1.000    11369  [1.00,0.00,0.00]  ETA 87.2m
    2130   339,805   +0.609   -0.941   -1.000     9941  [0.22,0.63,0.15]  ETA 87.0m
    2140   341,384   +1.000   -0.688   -1.000    12630  [0.07,0.82,0.11]  ETA 86.9m
    2150   342,952   +0.513   -0.974   -1.000     9576  [0.42,0.46,0.12]  ETA 86.7m
    2160   344,438   +1.000   -0.955   -1.000    11984  [0.27,0.12,0.60]  ETA 86.5m
    2170   346,026   +1.000   -0.949   -1.000    11572  [0.26,0.58,0.16]  ETA 86.3m
    2180   347,633   +1.000   -0.991   -0.215    11641  [0.00,0.00,1.00]  ETA 86.1m
    2190   349,250   +0.824   -0.972   -1.000    10759  [0.38,0.45,0.17]  ETA 85.9m
    2200   350,847   -0.041   -0.551   -1.000     7463  [0.08,0.89,0.03]  ETA 85.6m
    2210   352,427   +0.831   -0.943   -1.000    10786  [0.51,0.19,0.30]  ETA 85.4m
    2220   354,023   +1.000   -0.991   -0.222    11777  [0.00,0.00,1.00]  ETA 85.2m
    2230   355,640   +1.000   -0.985   -1.000    12132  [0.16,0.19,0.66]  ETA 85.0m
    2240   357,233   +1.000   -0.991   -1.000    11870  [1.00,0.00,0.00]  ETA 84.8m
    2250   358,849   +0.573   -0.943   -1.000     9804  [0.18,0.63,0.19]  ETA 84.5m
    2260   360,456   +0.915   -0.980   -1.000    11104  [0.51,0.34,0.15]  ETA 84.3m
    2270   362,070   +0.625   -0.892   -1.000    10001  [0.14,0.73,0.13]  ETA 84.1m
    2280   363,669   +1.000   -0.809   -1.000    11651  [0.09,0.78,0.14]  ETA 83.9m
    2290   365,287   +0.705   -0.811   -1.000    10305  [0.16,0.79,0.04]  ETA 83.7m
    2300   366,872   +0.798   -0.862   -1.000    10661  [0.20,0.75,0.05]  ETA 83.5m
    2310   368,454   -0.211   -0.457   -1.000     6817  [0.00,1.00,0.00]  ETA 83.3m
    2320   370,049   +0.973   -0.989   -1.000    11327  [0.90,0.09,0.01]  ETA 83.0m
    2330   371,644   +0.932   -0.989   -0.479    11172  [0.14,0.13,0.73]  ETA 82.8m
    2340   373,233   +0.595   -0.981   -0.680     9889  [0.19,0.36,0.46]  ETA 82.6m
    2350   374,849   +1.000   -0.988   -1.000    12516  [0.84,0.12,0.05]  ETA 82.4m
    2360   376,443   +0.892   -0.990   -1.000    11019  [0.84,0.08,0.08]  ETA 82.2m
    2370   378,040   +1.000   -0.484   -1.000    11428  [0.10,0.87,0.03]  ETA 82.0m
    2380   379,626   +0.323   -0.286   -1.000     8849  [0.00,1.00,0.00]  ETA 81.7m
    2390   381,233   +0.894   -0.780   -1.000    11028  [0.08,0.80,0.12]  ETA 81.5m
    2400   382,829   +1.000   -0.981   -1.000    11488  [0.35,0.30,0.34]  ETA 81.3m
    2410   384,424   +0.637   -0.860   -1.000    10048  [0.10,0.76,0.13]  ETA 81.1m
    2420   386,009   +0.572   -0.991   -0.922     9799  [0.24,0.07,0.68]  ETA 80.9m
    2430   387,594   +0.827   -0.979   -1.000    10772  [0.19,0.37,0.44]  ETA 80.7m
    2440   389,179   +0.858   -0.985   -1.000    10890  [0.30,0.22,0.48]  ETA 80.5m
    2450   390,784   +0.578   -0.985   -1.000     9821  [0.32,0.29,0.39]  ETA 80.3m
    2460   392,382   +1.000   -0.951   -1.000    12249  [0.09,0.56,0.35]  ETA 80.1m
    2470   393,970   +1.000   -0.990   -1.000    11488  [0.80,0.03,0.16]  ETA 79.9m
    2480   395,564   +0.843   -0.991   -1.000    10834  [1.00,0.00,0.00]  ETA 79.7m
    2490   397,159   +1.000   -0.987   -1.000    12721  [0.78,0.12,0.10]  ETA 79.5m
    2500   398,763   +0.736   -0.979   -0.770    10423  [0.22,0.37,0.41]  ETA 79.3m
    2510   400,354   +1.000   -0.990   -1.000    11537  [0.33,0.05,0.62]  ETA 79.1m
    2520   401,957   -1.000   -1.000   +0.497     3507  [0.02,0.29,0.69]  ETA 78.9m
    2530   403,556   +1.000   -0.986   -1.000    12301  [0.67,0.18,0.15]  ETA 78.7m
    2540   405,149   +0.858   -0.990   -1.000    10891  [0.52,0.05,0.42]  ETA 78.5m
    2550   406,747   +1.000   -0.980   -1.000    11773  [0.57,0.32,0.11]  ETA 78.3m
    2560   408,355   +0.700   -0.992   -0.676    10287  [0.26,0.03,0.71]  ETA 78.1m
    2570   409,960   +0.789   -0.990   -1.000    10626  [0.61,0.09,0.30]  ETA 77.9m
