==============================================================================
SIMPLE PPO — CONFIGURATION
==============================================================================
  Environment
    mode                 all
    random_weather       True
    enable_faults        False
    dssat_seed           123

  PPO Hyperparameters
    total_timesteps      1,000,000
    n_steps              4,096
    batch_size           64
    n_epochs             10
    learning_rate        0.0003
    gamma                0.99
    gae_lambda           0.95
    clip_range           0.2
    ent_coef             0.01
    max_grad_norm        0.5
    device               cpu

  Normalisation (VecNormalize)
    norm_obs             True
    norm_reward          True
    clip_obs             5.0
    clip_reward          10.0

  Reward Weights (seasonal)
    W_yield              0.40
    W_hiad               0.10
    W_ane                0.30
    W_penalty            0.20
==============================================================================

==============================================================================
TRAINING — 1,000,000 timesteps  |  n_steps=4096
==============================================================================

  Episode log  → /workspace/episode_log_nitrogen.csv
  Metrics log  → /workspace/training_metrics_nitrogen.csv

     ep      step   len    cum_R   yield      N      W   R_seas    R_yld   R_hiad    R_ane
    169     27046   161   -4.453    2295     70     34  -0.5678  -1.0000  -0.5052  -0.1847
    170     27210   164   -0.814    3701     62     71  -0.2655  -1.0000  +0.1061  +0.4848
    171     27376   166   -1.643    3312     67     57  -0.4147  -1.0000  -0.4724  +0.2372
    172     27542   166   +1.899    4769     77     42  -0.1885  -0.7482  -0.0671  +0.5508
    173     27700   158   +6.851    4685     53     79  +0.0969  -0.7705  +1.0000  +1.0000
    174     27862   162   +7.282    5054     62     49  +0.1026  -0.6735  +0.8053  +1.0000
    175     28020   158   -1.656    3250     62     35  -0.3805  -1.0000  -0.4661  +0.3068
    176     28174   154   -1.767    3091     60     68  -0.4040  -1.0000  -0.6466  +0.2930
    177     28334   160   +3.551    4058     53     79  -0.1028  -0.9351  -0.1299  +0.9172
    178     28494   160   -0.619    2275     58     60  -0.4229  -1.0000  +0.2397  -0.0234
    179     28653   159  +10.539    6116     60     57  +0.2144  -0.3946  +0.9381  +1.0000
    180     28812   159   +4.774    4518     63     72  -0.0594  -0.8141  +0.4956  +0.7810
    181     28971   159   -5.115    2562     76     41  -0.5709  -1.0000  -0.5249  -0.1616
    182     29124   153   -3.805    2269     70     25  -0.6115  -1.0000  -0.9159  -0.1953
    183     29283   159   +4.284    4258     58     47  -0.0961  -0.8824  +0.0286  +0.8462
    184     29441   158   -4.785    1578     58     46  -0.6477  -1.0000  -1.0000  -0.3178
    185     29598   157   -1.186    3700     68     42  -0.3259  -1.0000  -0.0496  +0.3679
    186     29757   159   -1.395    3900     70     37  -0.3294  -0.9764  -0.2302  +0.3937
    187     29916   159   -4.072    3241     69     40  -0.4315  -1.0000  -0.4389  +0.1807
    188     30071   155   -0.775    3118     54     80  -0.3053  -1.0000  -0.3097  +0.4575
    189     30226   155   +4.989    4875     64     58  -0.0192  -0.7205  +0.1150  +0.9083
    190     30387   161   -1.367    2718     60     47  -0.4401  -1.0000  -0.4444  +0.1270
    191     30542   155   -3.124    2793     62     55  -0.4696  -1.0000  -0.7045  +0.1266
    192     30706   164   -3.429    1945     57     51  -0.5634  -1.0000  -0.7708  -0.1445
    193     30866   160   +7.053    5476     60     63  +0.1268  -0.5628  +0.6468  +1.0000
    194     31028   162   -1.949    2405     61     45  -0.4937  -1.0000  -0.4644  -0.0176
    195     31186   158   +0.640    3574     73     24  -0.3507  -1.0000  +0.2347  +0.2300
    196     31344   158   +0.538    2824     53     43  -0.3389  -1.0000  -0.3033  +0.3433
    197     31509   165   -3.910    1792     66     49  -0.5742  -1.0000  -0.1385  -0.3205
    198     31665   156   -0.041    3674     72     36  -0.3063  -1.0000  +0.5566  +0.2681
    199     31828   163   -4.222    1751     49     92  -0.5446  -1.0000  -0.7789  -0.1061
    200     31987   159   +2.235    4512     76     32  -0.2143  -0.8157  +0.0876  +0.4920

  ── rolling mean (last 100 ep) ──  cum_R=-0.543  yield=3171 kg/ha  N=63  W=57 mm  R_seas=-0.3664  R_ane=+0.2387

    201     32148   161   +1.697    3889     55     62  -0.1384  -0.9792  +0.1466  +0.7812
    202     32308   160   -4.902    1913     55     54  -0.5790  -1.0000  -1.0000  -0.1302
    203     32463   155   -4.072    1327     71     30  -0.7385  -1.0000  -1.0000  -0.5310
    204     32522    59   -8.115       0     26     11  -0.8384  -1.0000  -1.0000  -1.0000
    205     32685   163   +2.124    3895     57     50  -0.1356  -0.9777  +0.4747  +0.7008
    206     32846   161   +5.459    4654     60     37  -0.0032  -0.7784  +0.3462  +0.9247
    207     33010   164   +2.476    4222     66     51  -0.1960  -0.8919  +0.0548  +0.5979
    208     33168   158   -3.071    2193     76     31  -0.6224  -1.0000  -0.6609  -0.2758
    209     33328   160   -1.310    3757     71     42  -0.3302  -1.0000  +0.0873  +0.3287
    210     33485   157   -1.710    2422     48     77  -0.3867  -1.0000  -0.5349  +0.2657
    211     33643   158   +2.571    2901     38     86  -0.1488  -1.0000  -0.4994  +0.8996
    212     33804   161   -0.783    4099     83     48  -0.3487  -0.9242  +0.1550  +0.2327
    213     33966   162   -0.197    3984     63     67  -0.2853  -0.9543  -0.5390  +0.5697
    214     34127   161   -3.412    1753     85     31  -0.7276  -1.0000  -0.8673  -0.4821
    215     34292   165   +7.224    5632     75     35  +0.0734  -0.5218  +0.5578  +0.8833
    216     34455   163   +0.605    3651     64     67  -0.2161  -1.0000  +0.7840  +0.4359
    217     34615   160   -2.914    1654     69     31  -0.6409  -1.0000  -0.5106  -0.3993
    218     34774   159   -1.536    3248     62     42  -0.3630  -1.0000  -0.2788  +0.3057
    219     34937   163   +1.887    4581     87     29  -0.2470  -0.7977  +0.4458  +0.3212
    220     35101   164   -1.999    3105     64     46  -0.4270  -1.0000  -0.5468  +0.2088
    221     35255   154   -3.340    1952     55     52  -0.5274  -1.0000  -0.5521  -0.1118
    222     35421   166   +4.005    4005     64     44  -0.1722  -0.9489  +0.6220  +0.5522
    223     35587   166   -0.917    3909     77     45  -0.3432  -0.9740  +0.1983  +0.2618
    224     35751   164   -1.950    3680     63     40  -0.3154  -1.0000  -0.3313  +0.4592
    225     35912   161   -1.858    2907     57     70  -0.3937  -1.0000  -0.4761  +0.2652
    226     36077   165   +1.855    4431     70     40  -0.1753  -0.8370  +0.1932  +0.5761
    227     36235   158   -0.997    2311     50     73  -0.4308  -1.0000  -0.5968  +0.1632
    228     36392   157   -1.426    3120     58     64  -0.3805  -1.0000  -0.6661  +0.3553
    229     36551   159   -2.799    3402     75     50  -0.4745  -1.0000  -0.6095  +0.1353
    230     36707   156   +2.095    4115     64     37  -0.2010  -0.9199  +0.0595  +0.5987
    231     36870   163   -2.019    3571     70     42  -0.4136  -1.0000  -0.5791  +0.2778
    232     37032   162   +1.937    3601     55     40  -0.2204  -1.0000  -0.0655  +0.6243
    233     37187   155   -3.646    1754     68     39  -0.6578  -1.0000  -0.8307  -0.3564
    234     37352   165   -1.337    3009     60     41  -0.4075  -1.0000  -0.5588  +0.2502
    235     37512   160   +3.012    3717     52     54  -0.1663  -1.0000  -0.0888  +0.7778
    236     37671   159   -1.824    2803     56     41  -0.3704  -1.0000  -0.2126  +0.2422
    237     37829   158   -5.138    1800     56     56  -0.5779  -1.0000  -0.7617  -0.1917
    238     37985   156   -4.075    2174     50     57  -0.4938  -1.0000  -0.9637  +0.0846
    239     38148   163   +0.378    3671     55     54  -0.2191  -1.0000  -0.1719  +0.6625
    240     38311   163   +1.794    4404     70     47  -0.2481  -0.8441  -0.5070  +0.5756
    241     38475   164   +1.160    3820     61     56  -0.2229  -0.9975  +0.2167  +0.5621
    242     38639   164   +2.413    3536     44     75  -0.0703  -1.0000  +0.0003  +1.0000
    243     38804   165   -2.271    2442     58     60  -0.4821  -1.0000  -0.5908  +0.0455
    244     38966   162   +7.688    5180     57     52  +0.0888  -0.6405  +0.4892  +1.0000
    245     39122   156   +7.092    4769     59     44  +0.0316  -0.7484  +0.3183  +1.0000
    246     39284   162   -3.918    2365     67     60  -0.5860  -1.0000  -0.9424  -0.1167
    247     39444   160   -3.605    2831     63     42  -0.4772  -1.0000  -0.7907  +0.1279
    248     39609   165   -4.061    1595     59     42  -0.6442  -1.0000  -0.9309  -0.3242
    249     39771   162   -2.109    1560     63     48  -0.6724  -1.0000  -0.9498  -0.3813
    250     39932   161   +2.797    4025     55     45  -0.1291  -0.9435  -0.0585  +0.8269
    251     40091   159   -3.829    1697     46     75  -0.5492  -1.0000  -1.0000  -0.0744
    252     40243   152   +0.683    2974     58     50  -0.2860  -1.0000  +0.5234  +0.2825
    253     40406   163   +4.348    4790     68     50  -0.0835  -0.7428  +0.1354  +0.7554
    254     40560   154   +0.529    2626     48     68  -0.2594  -1.0000  +0.3638  +0.3701
    255     40716   156   +1.240    4245     67     53  -0.1947  -0.8857  +0.1023  +0.5860
    256     40882   166   -2.813    2585     70     58  -0.5244  -1.0000  -0.4106  -0.0801
