scenario,scenario_label,level_idx,level_label,corner,R_yield,R_ane,R_water_eff,yield_kg_ha,total_N_kg_ha,total_W_mm
bias_soil,Soil Bias (offset),1,-0.20,balanced,-0.7569786906242371,-0.9957441091537476,0.9984130859375,3131.903030395508,14186.666125488282,0.634762954711914
bias_soil,Soil Bias (offset),2,-0.10,yield,-0.9284443855285645,-1.0,0.9947234392166138,2921.3729858398438,14848.724923706055,2.1106246948242187
bias_soil,Soil Bias (offset),2,-0.10,n_eff,-0.8360751867294312,-0.9053818583488464,0.999833881855011,3987.4390563964844,319.6,0.06643142700195312
bias_soil,Soil Bias (offset),2,-0.10,water,-0.7399083375930786,-0.9976881742477417,0.9960060119628906,3372.1522521972656,16458.304739379884,1.5975872039794923
bias_soil,Soil Bias (offset),2,-0.10,balanced,-0.5861002802848816,-0.9947054982185364,0.9984016418457031,4746.553573608398,14293.332788085938,0.6393501281738281
bias_soil,Soil Bias (offset),3,+0.10,yield,-0.7393567562103271,-0.9961885213851929,0.9947052001953125,4770.468811035156,14905.078895568848,2.1179119110107423
bias_soil,Soil Bias (offset),3,+0.10,n_eff,-0.9168587923049927,-0.9162446856498718,0.9998339414596558,3109.824462890625,319.6,0.06641426086425781
bias_soil,Soil Bias (offset),3,+0.10,water,-0.6396750211715698,-0.9956086874008179,0.9959673881530762,4217.3392333984375,16625.31287689209,1.6130237579345703
bias_soil,Soil Bias (offset),3,+0.10,balanced,-1.0,-1.0,0.998431384563446,2604.00341796875,14026.666131591797,0.6274463653564453
bias_soil,Soil Bias (offset),4,+0.20,yield,-0.671338677406311,-0.9967340230941772,0.9947124719619751,4351.636169433594,14886.362037658691,2.1150371551513674
bias_soil,Soil Bias (offset),4,+0.20,n_eff,-0.8141255378723145,-0.8987607955932617,0.9998323321342468,4253.043701171875,322.8,0.06705970764160156
bias_soil,Soil Bias (offset),4,+0.20,water,-0.9578258395195007,-1.0,0.9959679841995239,2255.4490356445312,16625.356851196288,1.6128101348876953
bias_soil,Soil Bias (offset),4,+0.20,balanced,-0.8575369715690613,-0.9976919889450073,0.9984101057052612,2864.5105590820312,14222.2216796875,0.635943603515625
bias_soil,Soil Bias (offset),5,+0.30,yield,-0.9608047604560852,-1.0,0.9946607351303101,2748.707473754883,15036.448335266114,2.135681915283203
bias_soil,Soil Bias (offset),5,+0.30,n_eff,-0.6852127313613892,-0.8035637140274048,0.9998370409011841,4923.6353759765625,313.6,0.0651763916015625
bias_soil,Soil Bias (offset),5,+0.30,water,-0.8200531005859375,-0.9979192614555359,0.9959834218025208,3165.490936279297,16562.804641723633,1.6066448211669921
bias_soil,Soil Bias (offset),5,+0.30,balanced,-0.958670973777771,-1.0,0.9984357953071594,2096.4072265625,13991.110577392577,0.6257057189941406
actuator_N,N Spreader Efficiency,0,100%,yield,-1.0,-1.0,0.9947437047958374,2689.3707580566406,14792.499703979493,2.102506637573242
actuator_N,N Spreader Efficiency,0,100%,n_eff,-0.8429999351501465,-0.9063975214958191,0.9998332858085632,3764.7144470214844,320.8,0.06667060852050781
actuator_N,N Spreader Efficiency,0,100%,water,-0.8877753019332886,-0.9984210133552551,0.995966911315918,3527.9544525146484,16625.270237731933,1.6132400512695313
actuator_N,N Spreader Efficiency,0,100%,balanced,-0.810082733631134,-0.9975539445877075,0.9984389543533325,3379.615676879883,13955.55502319336,0.6244155883789062
actuator_N,N Spreader Efficiency,1,80%,yield,-0.9872876405715942,-1.0,0.9947307705879211,2972.6961975097656,11864.067514648437,2.107692337036133
actuator_N,N Spreader Efficiency,1,80%,n_eff,-0.9839779138565063,-1.0,0.9998339414596558,2163.479751586914,255.67999999999938,0.06642570495605468
actuator_N,N Spreader Efficiency,1,80%,water,-0.5868590474128723,-0.9943205118179321,0.9964433908462524,3664.094284057617,11697.79548461914,1.422633743286133
actuator_N,N Spreader Efficiency,1,80%,balanced,-0.6727279424667358,-0.9944320917129517,0.9983706474304199,4777.5706787109375,11662.221777343784,0.6517108917236328
actuator_N,N Spreader Efficiency,2,60%,yield,-0.8708670735359192,-0.9966594576835632,0.9947504997253418,2933.0565338134766,8864.36687164307,2.0997806549072267
actuator_N,N Spreader Efficiency,2,60%,n_eff,-0.4936268925666809,-0.6341061592102051,0.9998294711112976,5739.281433105469,197.03999999999957,0.06822166442871094
actuator_N,N Spreader Efficiency,2,60%,water,-0.36782804131507874,-0.9885867238044739,0.9959374666213989,5834.651947021484,10050.389707031249,1.6250160217285157
actuator_N,N Spreader Efficiency,2,60%,balanced,-0.7078325152397156,-0.9926813840866089,0.9983962178230286,4531.396881103516,8607.999671630847,0.6415016174316406
actuator_N,N Spreader Efficiency,3,40%,yield,-0.866622805595398,-0.9955215454101562,0.994633674621582,3606.8118896484375,6044.81772277832,2.146528625488281
actuator_N,N Spreader Efficiency,3,40%,n_eff,-0.502758800983429,-0.224867582321167,0.9998306035995483,5262.28857421875,130.3999999999997,0.06773185729980469
actuator_N,N Spreader Efficiency,3,40%,water,-0.9104671478271484,-0.9958375096321106,0.9959079623222351,3394.2271118164062,6750.490457763672,1.6368003845214845
actuator_N,N Spreader Efficiency,3,40%,balanced,-0.8560308218002319,-0.9947949647903442,0.9984061121940613,3356.228713989258,5703.1108935547045,0.6375587463378907
actuator_N,N Spreader Efficiency,4,20%,yield,-0.7484463453292847,-0.9857342839241028,0.9947056770324707,3833.3904876708984,2981.1878918457014,2.11773796081543
actuator_N,N Spreader Efficiency,4,20%,n_eff,-1.0,-1.0,0.999834418296814,2648.9546813964844,63.75999999999984,0.06626243591308593
actuator_N,N Spreader Efficiency,4,20%,water,-0.8953074216842651,-0.9916595220565796,0.9958933591842651,2556.0780029296875,3387.843579406738,1.6426624298095702
actuator_N,N Spreader Efficiency,4,20%,balanced,-0.8043796420097351,-0.9893191456794739,0.9984256029129028,3647.873336791992,2815.999892578133,0.6297538757324219
actuator_N,N Spreader Efficiency,5,0%,yield,-1.0,-1.0,0.9946926236152649,675.9876480102539,0.0,2.1229625701904298
actuator_N,N Spreader Efficiency,5,0%,n_eff,-1.0,-1.0,0.9998347163200378,846.7677536010742,0.0,0.06609916687011719
actuator_N,N Spreader Efficiency,5,0%,water,-1.0,-1.0,0.9959181547164917,1584.6002655029297,0.0,1.6327404022216796
actuator_N,N Spreader Efficiency,5,0%,balanced,-1.0,-1.0,0.9984081387519836,1132.226303100586,0.0,0.6367782592773438
actuator_W,Irrigation Pump Efficiency,0,100%,yield,-0.9100049734115601,-0.9981444478034973,0.9945999979972839,3106.3743896484375,15205.123287963866,2.159993362426758
actuator_W,Irrigation Pump Efficiency,0,100%,n_eff,-0.9726527333259583,-1.0,0.9998334646224976,2345.2442932128906,320.4,0.06658897399902344
actuator_W,Irrigation Pump Efficiency,0,100%,water,-0.8268111944198608,-0.9984318017959595,0.9959867596626282,3989.043426513672,16541.809149169923,1.6052989959716797
actuator_W,Irrigation Pump Efficiency,0,100%,balanced,-0.8986427187919617,-0.9979942440986633,0.9984018206596375,3075.093505859375,14293.332788085938,0.6392536163330078
actuator_W,Irrigation Pump Efficiency,1,80%,yield,-0.7339590787887573,-0.9957399368286133,0.9956957101821899,3696.3934936523438,15148.857133483887,1.7217224121093757
actuator_W,Irrigation Pump Efficiency,1,80%,n_eff,-0.8038371205329895,-0.82392817735672,0.9998661279678345,4019.1461639404297,322.0,0.05353240966796889
actuator_W,Irrigation Pump Efficiency,1,80%,water,-0.8366451263427734,-0.9983886480331421,0.9967616200447083,3720.0282287597656,16687.868133544922,1.295356445312499
actuator_W,Irrigation Pump Efficiency,1,80%,balanced,-0.6116153597831726,-0.9948400259017944,0.9987214803695679,5152.6036376953125,14293.332788085938,0.5114004516601568
actuator_W,Irrigation Pump Efficiency,2,60%,yield,-0.6436969637870789,-0.9956485033035278,0.9968109130859375,4653.190490722656,14961.303314208984,1.2756140899658202
actuator_W,Irrigation Pump Efficiency,2,60%,n_eff,-0.6488878130912781,-0.7763189077377319,0.9999014735221863,4099.430419921875,316.0,0.03941459655761721
actuator_W,Irrigation Pump Efficiency,2,60%,water,-0.7333564162254333,-0.9964005351066589,0.9978481531143188,3865.6035766601562,14747.370726013183,0.8607570648193361
actuator_W,Irrigation Pump Efficiency,2,60%,balanced,-0.8920621871948242,-0.9979720115661621,0.9990516901016235,3303.2527770996094,14133.332794189453,0.3793352508544937
actuator_W,Irrigation Pump Efficiency,3,40%,yield,-1.0,-1.0,0.9978712797164917,1949.7510833740234,14980.055601501464,0.8514549255371098
actuator_W,Irrigation Pump Efficiency,3,40%,n_eff,-0.9629009366035461,-1.0,0.99993497133255,2855.449005126953,312.8,0.026015167236328195
