episode,total_steps,fault_type,phase,is_clean,R_yield,R_ane,R_water_eff,ep_len,critic_loss
311,49750,clean,0,1,1.0,-0.9482,-1.0,163,0.001125
312,49911,clean,0,1,0.7173,-0.9591,-1.0,161,0.000841
313,50069,clean,0,1,0.9746,-0.9521,-1.0,158,0.001454
314,50230,clean,0,1,1.0,-0.9432,-0.4262,161,0.000871
315,50385,clean,0,1,0.3347,-0.961,0.2568,155,0.00087
316,50541,clean,0,1,1.0,-0.9463,-1.0,156,0.001192
317,50698,clean,0,1,-0.719,-1.0,-1.0,157,0.001345
318,50863,clean,0,1,1.0,-0.9513,-1.0,165,0.001173
319,51023,clean,0,1,1.0,-0.8398,-1.0,160,0.001053
320,51185,clean,0,1,1.0,-0.9458,-1.0,162,0.00058
321,51345,clean,0,1,0.9679,-0.9254,-1.0,160,0.001765
322,51505,clean,0,1,1.0,-0.8622,-1.0,160,0.002218
323,51670,clean,0,1,1.0,-0.9584,-1.0,165,0.000727
324,51828,clean,0,1,1.0,-0.901,-1.0,158,0.001489
325,51994,clean,0,1,0.6306,-0.9585,0.2442,166,0.000986
326,52154,clean,0,1,1.0,-0.9407,-1.0,160,0.000912
327,52315,clean,0,1,1.0,-0.9472,-1.0,161,0.001633
328,52476,clean,0,1,1.0,-0.9457,-0.5734,161,0.000576
329,52638,clean,0,1,0.7299,-0.9635,-1.0,162,0.000912
330,52798,clean,0,1,0.7755,-0.9577,-1.0,160,0.00101
331,52955,clean,0,1,0.5785,-0.9591,-1.0,157,0.00069
332,53111,clean,0,1,0.7418,-0.893,-1.0,156,0.000346
333,53266,clean,0,1,1.0,-0.7076,-1.0,155,0.000998
334,53426,clean,0,1,0.7664,-0.9626,-1.0,160,0.001164
335,53588,clean,0,1,0.951,-0.9588,-1.0,162,0.001029
336,53748,clean,0,1,1.0,-0.9543,-1.0,160,0.001292
337,53908,clean,0,1,1.0,-0.8957,-1.0,160,0.000783
338,54071,clean,0,1,0.817,-0.9542,-1.0,163,0.000566
339,54236,clean,0,1,0.3702,-0.9657,0.1333,165,0.001099
340,54393,clean,0,1,1.0,-0.9067,-1.0,157,0.000859
341,54558,clean,0,1,0.8939,-0.9286,-1.0,165,0.000479
342,54715,clean,0,1,0.4331,-0.9609,-1.0,157,0.000876
343,54874,clean,0,1,1.0,-0.9403,-1.0,159,0.00104
344,55033,clean,0,1,0.0812,-0.9677,0.2097,159,0.000805
345,55189,clean,0,1,1.0,-0.9092,-1.0,156,0.001418
346,55355,clean,0,1,1.0,-0.9572,-1.0,166,0.001072
347,55519,clean,0,1,1.0,-0.9509,-1.0,164,0.000717
348,55675,clean,0,1,0.598,-0.9504,-1.0,156,0.000755
349,55836,clean,0,1,1.0,-0.9401,-1.0,161,0.000928
350,55999,clean,0,1,0.5349,-0.9645,-1.0,163,0.000512
351,56156,clean,0,1,0.3664,-0.9659,0.1468,157,0.001135
352,56307,clean,0,1,0.9702,-0.878,-1.0,151,0.00071
353,56468,clean,0,1,0.8442,-0.9605,-1.0,161,0.000838
354,56629,clean,0,1,0.7507,-0.9343,-1.0,161,0.000513
355,56790,clean,0,1,0.5764,-0.9621,0.083,161,0.000738
356,56948,clean,0,1,1.0,-0.9624,-1.0,158,0.000667
357,57103,clean,0,1,0.7619,-0.9044,-1.0,155,0.000828
358,57260,clean,0,1,0.8885,-0.9261,-1.0,157,0.000909
359,57431,clean,0,1,0.8751,-0.9573,-1.0,171,0.000966
360,57596,clean,0,1,0.7611,-0.959,-1.0,165,0.000389
361,57756,clean,0,1,0.6926,-0.8317,-1.0,160,0.000699
362,57921,clean,0,1,0.8199,-0.9305,-1.0,165,0.000685
363,58087,clean,0,1,1.0,-0.9527,-1.0,166,0.001615
364,58248,clean,0,1,0.9874,-0.9552,-1.0,161,0.000554
365,58410,clean,0,1,1.0,-0.9398,-1.0,162,0.001363
366,58570,clean,0,1,0.4228,-0.9641,-1.0,160,0.001065
367,58734,clean,0,1,1.0,-0.9524,-1.0,164,0.000882
368,58896,clean,0,1,1.0,-0.8796,-1.0,162,0.001056
369,59053,clean,0,1,0.051,-0.9554,0.2241,157,0.000822
370,59218,clean,0,1,0.8933,-0.8556,-1.0,165,0.000313
371,59379,clean,0,1,0.7372,-0.9604,-1.0,161,0.001193
372,59541,clean,0,1,0.9944,-0.9548,-1.0,162,0.001936
373,59697,clean,0,1,-0.2133,-0.9687,0.2238,156,0.001996
374,59860,clean,0,1,0.5565,-0.944,-1.0,163,0.001415
375,60018,clean,0,1,-0.2714,-0.9729,0.2047,158,0.001307
376,60180,clean,0,1,0.8457,-0.9483,-1.0,162,0.000871
377,60337,clean,0,1,0.7953,-0.9409,-1.0,157,0.001246
378,60494,clean,0,1,1.0,-0.9131,-1.0,157,0.001492
379,60658,clean,0,1,0.7921,-0.9536,-1.0,164,0.001045
