====================================================================
12_capql_train_robust.py  —  CAPQL-Robust  (GRU + fault training)
====================================================================
  Obs dim  : 19  (crop + mask + w)
  Actor    : GRU(19→256) + Linear(256→2)
  Critic   : MLP  (21→256→256→1)
  Steps    : 1,000,000
  Seq len  : 16  (burn-in 4,  grad steps/ep 12)
  Hindsight: w resampled from Dirichlet at every sample call
  Aug λ    : 0.5
  Fault mix: 60% clean | 10% dropout | 10% packet | 10% stuck | 5% N-act | 5% W-act
====================================================================

      ep     steps    R_yld    R_ane    R_wef    yield                   w       ETA
  ──────────────────────────────────────────────────────────────────────────────
  Collecting first episodes...

    1320   210,580   +0.431   -0.294   +0.936     9262  [0.00,1.00,0.00]  ETA 119.1m
    1330   212,185   -0.826   -1.000   +0.720     4471  [0.00,0.00,1.00]  ETA 118.9m
    1340   213,770   -1.000   -1.000   +0.889     3372  [0.63,0.25,0.13]  ETA 118.6m
    1350   215,344   -0.937   -1.000   +0.956     4052  [0.02,0.35,0.63]  ETA 118.4m
    1360   216,943   +0.001   -0.983   +0.938     7622  [0.14,0.41,0.45]  ETA 118.2m
    1370   218,548   -1.000   -1.000   +0.921     2847  [0.34,0.60,0.06]  ETA 117.9m
    1380   220,147   +1.000   -0.990   +0.530    11768  [0.17,0.03,0.81]  ETA 117.7m
    1390   221,729   +0.106   -0.993   +0.962     8022  [0.01,0.03,0.95]  ETA 117.5m
    1400   223,310   -1.000   -1.000   +0.437     3639  [0.44,0.19,0.37]  ETA 117.2m
    1410   224,925   -1.000   -1.000   +0.928     3550  [0.26,0.73,0.02]  ETA 117.0m
    1420   226,522   +0.008   -0.972   +0.938     7650  [0.30,0.53,0.17]  ETA 116.7m
    1430   228,114   -0.682   -0.995   +0.847     5023  [0.55,0.14,0.30]  ETA 116.5m
    1440   229,717   +0.959   -0.881   -1.000    11276  [0.07,0.73,0.20]  ETA 116.2m
    1450   231,321   +0.379   -0.991   +0.530     9063  [0.02,0.12,0.86]  ETA 116.0m
    1460   232,927   +0.182   -0.984   -1.000     8312  [0.29,0.37,0.34]  ETA 115.7m
    1470   234,546   -0.342   -0.994   +0.876     6317  [0.11,0.11,0.78]  ETA 115.5m
    1480   236,130   -1.000   -1.000   +0.945     1849  [0.52,0.03,0.45]  ETA 115.2m
    1490   237,735   -1.000   -1.000   +0.979     2044  [0.00,0.00,1.00]  ETA 115.0m
    1500   239,332   -1.000   -1.000   +0.972     1421  [0.00,0.00,1.00]  ETA 114.7m
    1510   240,825   -1.000   -1.000   +0.962     1338  [0.18,0.19,0.63]  ETA 114.6m
    1520   242,419   -0.564   -0.980   +0.443     5472  [0.00,0.53,0.47]  ETA 114.3m
    1530   244,030   -1.000   -1.000   +0.949     1398  [0.30,0.20,0.50]  ETA 114.1m
    1540   245,639   -1.000   -1.000   +0.947     2289  [0.47,0.18,0.35]  ETA 113.9m
    1550   247,235   -1.000   -1.000   -0.154     2708  [0.56,0.27,0.17]  ETA 113.6m
    1560   248,823   -1.000   -1.000   +0.942     3067  [0.52,0.46,0.02]  ETA 113.4m
    1570   250,420   -0.163   -0.976   +0.962     6998  [0.25,0.11,0.64]  ETA 113.1m
    1580   252,016   -0.851   -1.000   +0.946     4376  [0.09,0.60,0.30]  ETA 112.9m
    1590   253,604   -1.000   -1.000   +0.948     2982  [0.00,1.00,0.00]  ETA 112.7m
    1600   255,193   -1.000   -1.000   +0.966     2469  [0.05,0.25,0.70]  ETA 112.5m
    1610   256,816   -1.000   -1.000   +0.951     3251  [0.01,0.56,0.43]  ETA 112.2m
    1620   258,435   -1.000   -1.000   +0.776     2496  [0.01,0.03,0.96]  ETA 112.0m
    1630   260,033   -1.000   -1.000   +0.861     3095  [0.27,0.22,0.51]  ETA 111.7m
    1640   261,625   -1.000   -1.000   +0.759     3776  [0.33,0.42,0.25]  ETA 111.5m
    1650   263,208   -1.000   -1.000   -0.006     1614  [0.71,0.26,0.02]  ETA 111.3m
    1660   264,798   +0.699   -0.939   -1.000    10281  [0.10,0.63,0.26]  ETA 111.1m
    1670   266,408   +0.724   -0.643   -1.000    10377  [0.10,0.85,0.05]  ETA 110.9m
    1680   268,000   -0.502   -0.989   +0.352     5708  [0.43,0.37,0.20]  ETA 110.7m
    1690   269,599   -0.097   -0.989   +0.759     7252  [0.05,0.27,0.68]  ETA 110.4m
    1700   271,188   +0.194   -0.992   -0.098     8360  [0.28,0.08,0.63]  ETA 110.2m
    1710   272,795   -0.744   -1.000   +0.246     4787  [0.10,0.27,0.63]  ETA 109.9m
    1720   274,377   +0.826   -0.991   -1.000    10768  [1.00,0.00,0.00]  ETA 109.7m
    1730   275,985   -1.000   -1.000   +0.890     1926  [0.35,0.09,0.56]  ETA 109.5m
    1740   277,590   -1.000   -1.000   +0.318     2702  [0.21,0.24,0.56]  ETA 109.2m
    1750   279,174   -1.000   -1.000   +0.592     1074  [0.45,0.07,0.48]  ETA 109.0m
    1760   280,790   -1.000   -1.000   -0.216      892  [0.16,0.52,0.31]  ETA 108.8m
    1770   282,369   -0.708   -1.000   +0.919     4922  [0.51,0.34,0.15]  ETA 108.5m
    1780   283,962   -0.649   -0.995   +0.520     5146  [0.30,0.15,0.55]  ETA 108.3m
    1790   285,569   -1.000   -1.000   +0.795     1225  [0.22,0.30,0.48]  ETA 108.1m
    1800   287,159   -0.455   -0.966   +0.947     5887  [0.25,0.63,0.12]  ETA 107.8m
    1810   288,758   +0.157   -0.993   +0.919     8220  [0.00,0.05,0.95]  ETA 107.6m
    1820   290,375   -0.312   -0.992   +0.942     6431  [0.36,0.20,0.44]  ETA 107.3m
    1830   292,009   -1.000   -1.000   +0.946     3439  [0.03,0.61,0.36]  ETA 107.1m
    1840   293,592   -1.000   -1.000   +0.951     2236  [0.14,0.71,0.15]  ETA 106.9m
    1850   295,184   -0.160   -0.993   +0.972     7009  [0.17,0.09,0.75]  ETA 106.6m
    1860   296,779   -1.000   -1.000   +0.971      942  [0.00,0.00,1.00]  ETA 106.4m
    1870   298,392   -1.000   -1.000   +0.963     3038  [0.00,0.00,1.00]  ETA 106.1m
    1880   300,001   -1.000   -1.000   +0.944     1007  [0.37,0.49,0.14]  ETA 105.9m
    1890   301,591   -1.000   -1.000   +0.945      972  [0.23,0.35,0.42]  ETA 105.7m
    1900   303,178   -1.000   -1.000   +0.950     3182  [0.13,0.34,0.52]  ETA 105.4m
    1910   304,780   -1.000   -1.000   +0.969     2626  [0.00,0.00,1.00]  ETA 105.2m
    1920   306,389   +0.143   -0.958   +0.941     8167  [0.01,0.62,0.37]  ETA 105.0m
    1930   307,972   -0.941   -1.000   +0.944     4035  [0.18,0.71,0.11]  ETA 104.7m
    1940   309,559   +0.053   -0.994   +0.986     7822  [0.00,0.00,1.00]  ETA 104.5m
    1950   311,165   -0.972   -1.000   +0.949     3919  [0.24,0.55,0.21]  ETA 104.2m
    1960   312,761   -0.628   -0.996   +0.936     5228  [0.00,0.00,1.00]  ETA 104.0m
    1970   314,336   -1.000   -1.000   +0.916     1507  [1.00,0.00,0.00]  ETA 103.8m
    1980   315,941   -1.000   -1.000   +0.966     3398  [0.12,0.02,0.86]  ETA 103.5m
    1990   317,547   -1.000   -1.000   +0.948     3327  [0.23,0.28,0.49]  ETA 103.3m
    2000   319,135   -1.000   -1.000   +0.933     2495  [0.84,0.04,0.12]  ETA 103.0m
    2010   320,696   -1.000   -1.000   +0.939     3435  [0.04,0.78,0.18]  ETA 102.8m
    2020   322,292   -0.277   -0.992   +0.960     6566  [0.12,0.21,0.67]  ETA 102.6m
    2030   323,879   -0.947   -1.000   +0.926     4010  [1.00,0.00,0.00]  ETA 102.3m
    2040   325,502   -0.540   -0.995   +0.930     5561  [0.69,0.08,0.23]  ETA 102.1m
    2050   327,087   -1.000   -1.000   +0.942     3282  [0.16,0.55,0.28]  ETA 101.8m
    2060   328,702   -0.607   -0.992   +0.947     5308  [0.55,0.25,0.20]  ETA 101.6m
    2070   330,275   -1.000   -1.000   +0.952     2608  [0.26,0.54,0.20]  ETA 101.3m
    2080   331,885   -0.927   -1.000   +0.952     4088  [0.39,0.39,0.23]  ETA 101.1m
    2090   333,470   -1.000   -1.000   +0.948     3005  [0.12,0.44,0.43]  ETA 100.9m
    2100   335,097   -0.890   -1.000   +0.754     4228  [1.00,0.00,0.00]  ETA 100.6m
    2110   336,680   -1.000   -1.000   +0.954      794  [0.35,0.54,0.11]  ETA 100.4m
    2120   338,173   -1.000   -1.000   +0.930     2650  [0.85,0.09,0.06]  ETA 100.1m
    2130   339,766   -1.000   -1.000   +0.952     2176  [0.61,0.04,0.35]  ETA 99.9m
    2140   341,345   -1.000   -1.000   +0.955     1379  [0.00,1.00,0.00]  ETA 99.6m
    2150   342,913   -1.000   -1.000   +0.949     3477  [0.25,0.26,0.50]  ETA 99.4m
    2160   344,399   -0.550   -0.990   +0.950     5523  [0.14,0.36,0.50]  ETA 99.2m
    2170   345,987   +0.174   -0.993   +0.231     8284  [0.47,0.02,0.51]  ETA 99.0m
    2180   347,594   -0.225   -0.995   +0.925     6762  [1.00,0.00,0.00]  ETA 98.7m
    2190   349,211   -0.905   -1.000   +0.954     4173  [0.26,0.08,0.66]  ETA 98.5m
    2200   350,808   -0.569   -0.956   +0.942     5454  [0.22,0.70,0.09]  ETA 98.2m
