====================================================================
12_capql_train_robust.py  —  CAPQL-Robust (MLP + fault training)
====================================================================
  Obs dim  : 19  (crop(11) + mask(5) + w(3))
  Actor    : MLP  (19→256→256→2)
  Critic   : MLP  (21→256→256→1)
  Steps    : 1,000,000  |  warmup 5,000  |  batch 256
  Hindsight: w ~ Dirichlet(1,1,1) resampled at every batch
  Aug λ=0.5  ε=0.1
  Fault mix: 60% clean | 10% dropout | 10% packet | 10% stuck | 5% N-act | 5% W-act
====================================================================

     ep      step    R_yld    R_ane    R_wef    yield                   w  ETA
  ────────────────────────────────────────────────────────────────────────────
  Collecting warmup steps...

   2160   344,438   +0.502   -0.907   +0.317     9534  [0.18,0.10,0.72]  ETA 221.6m
   2170   346,026   +1.000   -0.820   -0.443    11499  [0.26,0.60,0.13]  ETA 221.1m
   2180   347,633   +1.000   -0.640   -0.537    11641  [0.45,0.27,0.28]  ETA 220.5m
   2190   349,250   +0.699   -0.666   -0.444    10284  [0.12,0.79,0.09]  ETA 219.9m
   2200   350,847   +0.457   -0.894   -0.667     9362  [0.33,0.32,0.36]  ETA 219.3m
   2210   352,427   +0.541   -0.873   +0.108     9681  [0.21,0.40,0.39]  ETA 218.7m
   2220   354,023   +1.000   -0.902   -0.718    11777  [0.51,0.11,0.39]  ETA 218.1m
   2230   355,640   +0.754   -0.886   -0.025    10493  [0.78,0.18,0.04]  ETA 217.5m
   2240   357,233   +1.000   -0.591   -0.460    11825  [0.61,0.02,0.37]  ETA 217.0m
   2250   358,849   -0.629   -0.950   +0.476     5222  [0.00,0.00,1.00]  ETA 216.4m
   2260   360,456   +0.615   -0.865   -0.592     9964  [0.28,0.58,0.14]  ETA 215.8m
   2270   362,070   +0.513   -0.533   -0.340     9574  [0.12,0.83,0.06]  ETA 215.3m
   2280   363,669   -0.608   -0.947   +0.499     5302  [0.00,0.00,1.00]  ETA 214.7m
   2290   365,287   -0.644   -0.952   +0.449     5168  [0.11,0.11,0.78]  ETA 214.1m
   2300   366,872   +0.792   -0.864   -0.514    10638  [0.17,0.59,0.24]  ETA 213.6m
   2310   368,454   +0.699   -0.891   -0.568    10282  [0.41,0.26,0.32]  ETA 213.0m
   2320   370,049   +0.952   -0.869   -0.525    11248  [0.42,0.25,0.33]  ETA 212.5m
   2330   371,644   +0.884   -0.859   -0.315    10989  [0.20,0.59,0.22]  ETA 211.9m
   2340   373,233   +0.510   -0.544   -0.515     9562  [0.02,0.83,0.14]  ETA 211.3m
   2350   374,849   +0.788   -0.891   -0.410    10622  [0.76,0.13,0.11]  ETA 210.7m
   2360   376,443   +0.892   -0.885   -0.677    11019  [0.42,0.12,0.46]  ETA 210.2m
   2370   378,040   -0.505   -0.891   +0.409     5698  [0.11,0.09,0.80]  ETA 209.6m
   2380   379,626   +1.000   -0.833   -0.392    12568  [0.04,0.53,0.42]  ETA 209.0m
   2390   381,233   +0.723   -0.877   -0.505    10376  [0.46,0.43,0.11]  ETA 208.5m
   2400   382,829   -0.449   -0.935   +0.457     5911  [0.03,0.18,0.78]  ETA 207.9m
   2410   384,424   +0.623   -0.887   +0.145     9994  [0.26,0.11,0.63]  ETA 207.3m
   2420   386,009   -0.897   -1.000   +0.494     4201  [0.21,0.19,0.60]  ETA 206.7m
   2430   387,594   +0.412   -0.896   -0.228     9189  [0.03,0.42,0.55]  ETA 206.0m
